127.0.0.1 - - [17/Jul/2025:12:41:07 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:41:08 +0530] "GET /StreetStall/index.html HTTP/1.1" 200 13511
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:41:08 +0530] "GET /StreetStall/momos.png HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:41:08 +0530] "GET /StreetStall/style.css HTTP/1.1" 200 10954
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:41:08 +0530] "GET /StreetStall/topBestShop.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:41:08 +0530] "GET /StreetStall/pasta.png HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:41:08 +0530] "GET /StreetStall/sorma.png HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:41:08 +0530] "GET /StreetStall/momoterian_dom.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:41:08 +0530] "GET /StreetStall/gajanan_vada_pav.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:41:08 +0530] "GET /StreetStall/thakur_vada_pav_dom.png HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:41:08 +0530] "GET /StreetStall/gala_foofie_spot_dom.png HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:41:08 +0530] "GET /StreetStall/streetStalls.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:41:08 +0530] "GET /StreetStall/pickup.jpg HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:41:08 +0530] "GET /StreetStall/restaurant-interior.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:41:08 +0530] "GET /StreetStall/delivery.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:41:08 +0530] "GET /StreetStall/catering.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:41:08 +0530] "GET /StreetStall/app.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:41:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:49:15 +0530] "GET /StreetStall/index.html HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:49:15 +0530] "GET /StreetStall/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:49:15 +0530] "GET /StreetStall/pasta.png HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:49:15 +0530] "GET /StreetStall/sorma.png HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:49:15 +0530] "GET /StreetStall/momos.png HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:49:15 +0530] "GET /StreetStall/topBestShop.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:49:15 +0530] "GET /StreetStall/momoterian_dom.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:49:15 +0530] "GET /StreetStall/gajanan_vada_pav.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:49:15 +0530] "GET /StreetStall/streetStalls.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:49:15 +0530] "GET /StreetStall/thakur_vada_pav_dom.png HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:49:15 +0530] "GET /StreetStall/restaurant-interior.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:49:15 +0530] "GET /StreetStall/gala_foofie_spot_dom.png HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:49:15 +0530] "GET /StreetStall/delivery.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:49:15 +0530] "GET /StreetStall/pickup.jpg HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:49:15 +0530] "GET /StreetStall/catering.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:49:15 +0530] "GET /StreetStall/app.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:49:16 +0530] "GET /StreetStall/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:49:17 +0530] "GET /StreetStall/pasta.png HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [17/Jul/2025:12:49:17 +0530] "GET /StreetStall/momoterian_dom.png HTTP/1.1" 404 785
